workerid,predicate,utterance,response,context,sentence_type
0,tall,flat,0.24,random,coll
0,tall,flat,0.77,random,dist
0,tall,big,0.33,random,coll
0,tall,big,0.43,random,dist
0,tall,lengthy,0.49,random,coll
0,tall,lengthy,0.8,random,dist
0,tall,tiny,0.29,random,dist
0,tall,tiny,0.29,random,coll
0,tall,wide,0.57,random,dist
0,tall,wide,0.55,random,coll
0,tall,thick,0.33,random,coll
0,tall,thick,0.84,random,dist
0,tall,heavy,0.15,random,coll
0,tall,heavy,0.52,random,dist
0,tall,large,0.45,random,dist
0,tall,large,0.4,random,coll
0,tall,skinny,0.24,random,dist
0,tall,skinny,0.44,random,coll
0,tall,deep,0.11,random,coll
0,tall,deep,0.2,random,dist
0,tall,thin,0.73,random,coll
0,tall,thin,0.45,random,dist
0,tall,humongous,0.14,random,dist
0,tall,humongous,0.67,random,coll
0,tall,high,0.49,random,dist
0,tall,high,0.2,random,coll
0,tall,short,0.28,random,coll
0,tall,short,0.42,random,dist
0,tall,low,0.37,random,coll
0,tall,low,0.05,random,dist
0,tall,tall,0.41,random,dist
0,tall,tall,0.12,random,coll
0,tall,slight,0.6,random,dist
0,tall,slight,0.78,random,coll
0,tall,small,0.48,random,dist
0,tall,small,0.23,random,coll
0,tall,mini,0.4,random,coll
0,tall,mini,0.63,random,dist
0,tall,long,0.03,random,coll
0,tall,long,0.09,random,dist
0,tall,huge,0.06,random,dist
0,tall,huge,0.22,random,coll
0,tall,fat,0.38,random,dist
0,tall,fat,0.84,random,coll
0,tall,narrow,0.59,random,dist
0,tall,narrow,0.04,random,coll
0,tall,little,0.46,random,dist
0,tall,little,0.3,random,coll
0,tall,full,0.23,random,dist
0,tall,full,0.38,random,coll
1,tall,long,0,random,coll
1,tall,long,1,random,dist
1,tall,deep,1,random,dist
1,tall,deep,0,random,coll
1,tall,lengthy,0,random,coll
1,tall,lengthy,1,random,dist
1,tall,full,1,random,dist
1,tall,full,0,random,coll
1,tall,skinny,0,random,coll
1,tall,skinny,1,random,dist
1,tall,tall,0,random,coll
1,tall,tall,1,random,dist
1,tall,low,1,random,dist
1,tall,low,0,random,coll
1,tall,large,0,random,dist
1,tall,large,1,random,coll
1,tall,heavy,0,random,dist
1,tall,heavy,1,random,coll
1,tall,mini,1,random,dist
1,tall,mini,0,random,coll
1,tall,tiny,0,random,coll
1,tall,tiny,1,random,dist
1,tall,little,0,random,coll
1,tall,little,1,random,dist
1,tall,flat,1,random,coll
1,tall,flat,0,random,dist
1,tall,high,1,random,dist
1,tall,high,0,random,coll
1,tall,fat,0,random,dist
1,tall,fat,1,random,coll
1,tall,narrow,1,random,dist
1,tall,narrow,0,random,coll
1,tall,thick,1,random,dist
1,tall,thick,0,random,coll
1,tall,big,0,random,coll
1,tall,big,1,random,dist
